"氏名","ふりがな","氏名ふりがな"
"七戸淳","しちのへあつし","七戸淳（しちのへあつし）"
"丸山たかのり","まるやまたかのり","丸山たかのり（まるやまたかのり）"
"山越明","やまこしめい","山越明（やまこしめい）"
"渡辺専太郎","わたなべせんたろう","渡辺専太郎（わたなべせんたろう）"
"琴尾みさと","こんおみさと","琴尾みさと（こんおみさと）"
"植木満","うえきまん","植木満（うえきまん）"
"井筒宣弘","いずつのぶひろ","井筒宣弘（いずつのぶひろ）"
"なかね大","なかねだい","なかね大（なかねだい）"
"堀野国雄","ほりのくにお","堀野国雄（ほりのくにお）"
"石渡ゆきこ","いしわたりゆきこ","石渡ゆきこ（いしわたりゆきこ）"
"たてしたマサ子","たてしたまさこ","たてしたマサ子（たてしたまさこ）"
"マック赤坂","まっくあかさか","マック赤坂（まっくあかさか）"
"赤坂大輔","あかさかだいすけ","赤坂大輔（あかさかだいすけ）"
"錦織淳二","にしきおりじゅんじ","錦織淳二（にしきおりじゅんじ）"
"上田あつひで","うえだあつひで","上田あつひで（うえだあつひで）"
"沖島えみ子","おきしまえみこ","沖島えみ子（おきしまえみこ）"
"二島豊司","にしまとよじ","二島豊司（にしまとよじ）"
"大橋昭二","おおはししょうじ","大橋昭二（おおはししょうじ）"
"うどう巧","うどうこう","うどう巧（うどうこう）"
"井上しげお","いのうえしげお","井上しげお（いのうえしげお）"
"益満寛志","ますみつひろし","益満寛志（ますみつひろし）"
"池田こうじ","いけだこうじ","池田こうじ（いけだこうじ）"
"ゆうきくみこ","ゆうきくみこ","ゆうきくみこ（ゆうきくみこ）"
"北村利明","きたむらとしあき","北村利明（きたむらとしあき）"
"菅野弘一","かんのこういち","菅野弘一（かんのこういち）"
"小斉太郎","しょうせいたろう","小斉太郎（しょうせいたろう）"
"達下マサ子","とおるしたまさこ","達下マサ子（とおるしたまさこ）"
"宮崎一二","みやざきいちに","宮崎一二（みやざきいちに）"
"林田和雄","はやしだかずお","林田和雄（はやしだかずお）"
"山野井つよし","やまのいつよし","山野井つよし（やまのいつよし）"
"玉木まこと","たまきまこと","玉木まこと（たまきまこと）"
"遠山高史","とうやまたかし","遠山高史（とうやまたかし）"
"秋元ゆきひさ","あきもとゆきひさ","秋元ゆきひさ（あきもとゆきひさ）"
"川村蒼市","かわむらあおし","川村蒼市（かわむらあおし）"
"横山勝司","よこやまかつじ","横山勝司（よこやまかつじ）"
"鈴木武昌","すずきたけまさ","鈴木武昌（すずきたけまさ）"
"達下まさ子","とおるしたまさこ","達下まさ子（とおるしたまさこ）"
"杉本とよひろ","すぎもととよひろ","杉本とよひろ（すぎもととよひろ）"
"榎本茂","えのもとしげる","榎本茂（えのもとしげる）"
"有働巧","ゆうどうこう","有働巧（ゆうどうこう）"
"滝川嶂之","たきかわしょうゆき","滝川嶂之（たきかわしょうゆき）"
"やなざわ亜紀","やなざわあき","やなざわ亜紀（やなざわあき）"
"大谷たき子","おおたにたきこ","大谷たき子（おおたにたきこ）"
"赤坂だいすけ","あかさかだいすけ","赤坂だいすけ（あかさかだいすけ）"
"島田幸雄","しまだゆきお","島田幸雄（しまだゆきお）"
"西山信男","にしやまのぶお","西山信男（にしやまのぶお）"
"熊田ちづ子","くまだちづこ","熊田ちづ子（くまだちづこ）"
"水野むねひろ","みずのむねひろ","水野むねひろ（みずのむねひろ）"
"杉浦のりお","すぎうらのりお","杉浦のりお（すぎうらのりお）"
"福島宏子","ふくしまひろこ","福島宏子（ふくしまひろこ）"
"伊東徳雄","いとうのりお","伊東徳雄（いとうのりお）"
"池田たけし","いけだたけし","池田たけし（いけだたけし）"
"金子久雄","かねこひさお","金子久雄（かねこひさお）"
"きたしろ勝彦","きたしろかつひこ","きたしろ勝彦（きたしろかつひこ）"
"うかい雅彦","うかいまさひこ","うかい雅彦（うかいまさひこ）"
"清家あい","せいけあい","清家あい（せいけあい）"
"栗橋伸次郎","くりはししんじろう","栗橋伸次郎（くりはししんじろう）"
"林健司","はやしけんじ","林健司（はやしけんじ）"
"佐々木義信","ささきよしのぶ","佐々木義信（ささきよしのぶ）"
"湯原信一","ゆはらしんいち","湯原信一（ゆはらしんいち）"
"古川伸一","ふるかわしんいち","古川伸一（ふるかわしんいち）"
"おぎくぼ省吾","おぎくぼしょうご","おぎくぼ省吾（おぎくぼしょうご）"
"木村のり子","きむらのりこ","木村のり子（きむらのりこ）"
"石塚壮一","いしづかそういち","石塚壮一（いしづかそういち）"
"阿部浩子","あべひろこ","阿部浩子（あべひろこ）"
"鈴木たかや","すずきたかや","鈴木たかや（すずきたかや）"
"榎本あゆみ","えのもとあゆみ","榎本あゆみ（えのもとあゆみ）"
"杉原としお","すぎはらとしお","杉原としお（すぎはらとしお）"
"浜ゆずる","はまゆずる","浜ゆずる（はまゆずる）"
"ちほぎみき子","ちほぎみきこ","ちほぎみき子（ちほぎみきこ）"
"長島五郎","ながしまごろう","長島五郎（ながしまごろう）"
"近藤まさ子","こんどうまさこ","近藤まさ子（こんどうまさこ）"
"岸田東三","きしだひがしさん","岸田東三（きしだひがしさん）"
"風見利男","かざみとしお","風見利男（かざみとしお）"
"森野弘司郎","もりのひろしろう","森野弘司郎（もりのひろしろう）"
"清水一郎","しみずいちろう","清水一郎（しみずいちろう）"
"大蔦幸雄","だいつたゆきお","大蔦幸雄（だいつたゆきお）"
"七戸じゅん","しちのへじゅん","七戸じゅん（しちのへじゅん）"
"星野喬","ほしのたかし","星野喬（ほしのたかし）"
"山本閉留巳","やまもとへいりゅうし","山本閉留巳（やまもとへいりゅうし）"
"藤本潔","ふじもときよし","藤本潔（ふじもときよし）"
"松岡昭夫","まつおかあきお","松岡昭夫（まつおかあきお）"
"真下政義","ましたまさよし","真下政義（ましたまさよし）"
"土屋準","つちやじゅん","土屋準（つちやじゅん）"
"黒崎ゆういち","くろさきゆういち","黒崎ゆういち（くろさきゆういち）"
"清水良英","しみずよしひで","清水良英（しみずよしひで）"
"いのくま正一","いのくましょういち","いのくま正一（いのくましょういち）"
"鈴木洋一","すずきよういち","鈴木洋一（すずきよういち）"
"小倉りえこ","おぐらりえこ","小倉りえこ（おぐらりえこ）"
"鈴木たけし","すずきたけし","鈴木たけし（すずきたけし）"
"大滝実","おおたきみ","大滝実（おおたきみ）"
"菅野一","かんのいち","菅野一（かんのいち）"
"横尾俊成","よこおしゅんせい","横尾俊成（よこおしゅんせい）"
"兵藤ゆうこ","ひょうどうゆうこ","兵藤ゆうこ（ひょうどうゆうこ）"
"矢野健一郎","やのけんいちろう","矢野健一郎（やのけんいちろう）"
"清原和幸","きよはらかずゆき","清原和幸（きよはらかずゆき）"
"なかまえ由紀","なかまえゆき","なかまえ由紀（なかまえゆき）"
"結城光江","ゆうきみつえ","結城光江（ゆうきみつえ）"
"村田和雄","むらたかずお","村田和雄（むらたかずお）"
"小田あき","おだあき","小田あき（おだあき）"
"樋渡紀和子","ひわたりきわこ","樋渡紀和子（ひわたりきわこ）"
"藤田五郎","ふじたごろう","藤田五郎（ふじたごろう）"
